t,x_ECI,y_ECI,z_ECI,vx_ECI,vy_ECI,vz_ECI,x_ECEF,y_ECEF,z_ECEF,vx_ECEF,vy_ECEF,vz_ECEF,lambda,phi
690,-1489.1909469606467,-6638.521983957992,-1885.7227793340426,-1.5100721321691486,-1.701153987086161,7.1596596284187815,-1821.186574993147,-6555.222594776461,-1885.7227793340426,-2.077808226348876,-1.5144594116231045,7.1596596284187815,-105.5264755762124,-15.491743178103524
720,-1533.745563442865,-6686.1838361246255,-1669.9136300618707,-1.4586849667640247,-1.4746461022427402,7.220102262076859,-1882.5171115266544,-6596.480809389521,-1669.9136300618707,-2.0216273259161195,-1.284221071288699,7.220102262076859,-105.92779446907657,-13.681585454794543
750,-1576.7364997855748,-6727.025472499703,-1452.3955987651839,-1.4058121566070712,-1.2466447358200503,7.273176166494921,-1942.1024947786514,-6630.777299622606,-1452.3955987651839,-1.9623988156444803,-1.0529565684571067,7.273176166494921,-106.32489254452699,-11.87117057366555
780,-1618.119876668188,-6761.005207476717,-1233.3906983667255,-1.3515076969239384,-1.0173823773952055,7.318827775762638,-1999.8516833484787,-6658.085054683833,-1233.3906983667255,-1.9001784350120634,-0.8209116519997236,7.318827775762638,-106.71839666500117,-10.060542457125916
810,-1657.853455548917,-6788.088359148003,-1013.1224593836706,-1.2958270322676657,-0.7870927668699799,7.357011085231606,-2055.675399396407,-6678.384557959547,-1013.1224593836706,-1.8350260128548292,-0.588332561911006,7.357011085231606,-107.10890332296724,-8.249742797409793
840,-1695.8966817761511,-6808.247284703339,-791.81570177799,-1.2388269998567403,-0.5560106569651304,7.387687696065912,-2109.486252154272,-6691.663798854652,-791.81570177799,-1.7670054084550266,-0.35546576478210473,7.387687696065912,-107.49698412001487,-6.438811452587113
870,-1732.2107259811485,-6821.461408643969,-569.696305490699,-1.1805657715405067,-0.32437157482604156,7.4108268520986345,-2161.1988595530174,-6697.918276471417,-569.696305490699,-1.6961844474565724,-0.12255768946701873,7.4108268520986345,-107.88319080455895,-4.62778681047945
900,-1766.7585237097937,-6827.717243783293,-346.9909798942162,-1.1211027944512582,-0.09241158297805968,7.426405468966154,-2210.729967807897,-6697.150995131664,-346.9909798942162,-1.622634852674715,0.11014553677562429,7.426405468966154,-108.26805996414014,-2.8167061274859155
930,-1799.5048132529657,-6827.008405012752,-123.9270323981982,-1.0604987304034714,0.13963296012996906,7.434408155499697,-2257.9985688041797,-6689.372451756116,-123.9270323981982,-1.546432169873416,0.3423983513833714,7.434408155499697,-108.65211745799165,-1.0056058485624537
960,-1830.4161716369133,-6819.335615818878,99.26786355508725,-0.9988153941016927,0.37152563975573505,7.4348272273610885,-2302.9260151285434,-6674.60061512372,99.26786355508725,-1.4676556885898673,0.5739560185533465,7.4348272273610885,-109.03588266792991,0.8054780859653902
990,-1859.4610487368986,-6804.706707544876,322.36590086893773,-0.9361156902196631,0.603030224428975,7.427662712917202,-2345.4361325938416,-6652.860897042655,322.36590086893773,-1.386388358091546,0.8045748899899734,7.427662712917202,-109.41987264037841,2.6165099414613207
1020,-1886.6097994792792,-6783.136611397419,545.1393713068093,-0.8724635494141859,0.8339109052150687,7.412922351355105,-2385.4553301076057,-6624.186115473547,545.1393713068093,-1.3027166985570025,1.03401266406109,7.412922351355105,-109.80460618921944,4.427453892844815
1050,-1911.8347140991928,-6754.64734320693,767.360897906039,-0.8079238633381323,1.0639325344400894,7.390621583047339,-2422.912706737615,-6588.616449654403,767.360897906039,-1.2167307075772948,1.2620286430889782,7.390621583047339,-110.19060802805214,6.238273726283499
1080,-1935.1100464229198,-6719.267980956781,988.8036670534183,-0.7425624187178459,1.2928608636415873,7.360783532184201,-2457.7401558308484,-6546.199387285304,988.8036670534183,-1.128523762080622,1.488383988505495,7.360783532184201,-110.57841300126903,8.048932533667402
1110,-1956.4120401460925,-6677.034635104438,1209.2416599857943,-0.6764458305609558,1.5204627805106292,7.323438981697263,-2489.8724660454886,-6496.989663839817,1209.2416599857943,-1.0381925157881944,1.7128419736035418,7.323438981697263,-110.96857048618243,9.859392394614078
1140,-1975.7189530809105,-6627.990411724808,1428.4498834793756,-0.609641474561317,1.7465065445920218,7.278626340505706,-2519.2474191590436,-6441.049194078525,1428.4498834793756,-0.945836792314753,1.9351682336203613,7.278626340505706,-111.36164904336094,11.669614040389552
1170,-1993.011079347616,-6572.185368513388,1646.2045994923237,-0.542217418768459,1.970762021511201,7.226391603124275,-2545.805884519286,-6378.44699584866,1646.2045994923237,-0.8515594740324135,2.155131012891616,7.226391603124275,-111.75824139958655,13.479556493595437
1200,-2008.2707694875871,-6509.676463694162,1862.2835535262232,-0.4742423545894877,2.193000915498125,7.166788301678899,-2569.4919100085244,-6309.25910626222,1862.2835535262232,-0.7554663868216174,2.372501408819007,7.166788301678899,-112.15896985774091,15.289176676740887
1230,-2021.4824484775122,-6440.527497884361,2076.466201473343,-0.4057855271919312,2.412996999980442,7.099877450383174,-2590.2528093956626,-6233.5684903532665,2076.466201473343,-0.6576661808379762,2.587053612398109,7.099877450383174,-112.56449224092152,17.098428981857136
1260,-2032.632631626264,-6364.80904897545,2288.53393471817,-0.3369166653764676,2.6305263460204245,7.025727482535893,-2608.039245954644,-6151.464942323254,2288.53393471817,-0.5582702074286354,2.798565145057361,7.025727482535893,-112.97550849478321,18.90726479207568
1290,-2041.7099383382415,-6282.598400096773,2498.2703032634536,-0.26770591098886865,2.8453675483725616,6.944414180106938,-2622.80531223215,-6063.0449794912865,2498.2703032634536,-0.45739239233646617,3.0068170915636263,6.944414180106938,-113.39276809329573,20.715631944518254
1320,-2048.705103729142,-6193.979460735415,2705.461236653013,-0.19822374794085074,3.05730194894119,6.856020595985603,-2634.5086058518964,-5968.411729074186,2705.461236653013,-0.3551491053349908,3.211594328754323,6.856020595985603,-113.8170784198606,22.523474121857085
1350,-2053.610988082298,-6099.04268109277,2909.8952624658664,-0.12854093090976804,3.2661138574204123,6.760636968972366,-2643.110301247412,-5867.674807928901,2909.8952624658664,-0.2516590264412837,3.4126857498611445,6.760636968972366,-114.24931432941267,24.330730157394466
1380,-2056.4225841359334,-5997.884959765239,3111.36372215859,-0.05872841378733862,3.4715907689013394,6.658360631601836,-2648.575217219961,-5760.95019539751,3111.36372215859,-0.14704300885840016,3.609884484195358,6.658360631601836,-114.69042913955239,26.137333235339995
1410,-2057.1370221938955,-5890.609544843269,3309.6609840356887,0.011142722052289167,3.6735235782349163,6.549295910891185,-2650.871880223113,-5648.36009940246,3309.6609840356887,-0.04142393880290701,3.802988111970084,6.549295910891185,-115.14146735227791,27.943209963954935
1440,-2055.7535730546547,-5777.325928529707,3504.584653130555,0.08100133959471068,3.871706790941838,6.433554022115036,-2649.9725832804843,-5530.03281594697,3504.584653130555,0.06507340762296843,3.9917988740404318,6.433554022115036,-115.6035794756369,29.748279294140154
1470,-2052.27364875557,-5658.149735384987,3695.93577778282,0.1507763180672289,4.0659387304644685,6.3112529557140915,-2645.85344044829,-5406.102582182626,3695.93577778282,0.17232251035131063,4.176123876348056,6.3112529557140915,-116.07803940073103,31.552451249550245
1500,-2046.7008011316789,-5533.202604313271,3883.519052701236,0.22039662479018518,4.2560217415593655,6.1825173574512755,-2638.4944367396174,-5276.709423213137,3883.519052701236,0.28019525389378014,4.355775288862617,6.1825173574512755,-116.56626489949151,33.35562542598969
1530,-2039.0407181904616,-5402.612064409923,4067.1430183048515,0.2897913869273361,4.441762389632779,6.04747840193526,-2627.8794734326625,-5141.9989928098585,4067.1430183048515,0.38856207834196216,4.530570538818718,6.04747840193526,-117.06984194989714,35.15768920710918
